aseg.csv,aseg_bigregions.csv,brainstem.csv,lh.aparc.a2009s.csv,lh.aparc.csv,lh.aparc.DKTatlas.csv,lh.aparc.pial.a2009s.csv,lh.aparc.pial.csv,lh.aparc.pialDKT.csv,lh.BA_exvivo.csv,lhpcsub.csv,rh.aparc.a2009s.csv,rh.aparc.csv,rh.aparc.DKTatlas.csv,rh.aparc.pial.a2009s.csv,rh.aparc.pial.csv,rh.aparc.pialDKT.csv,rh.BA_exvivo.csv,rhpcsub.csv,wmparc.csv
3rd-ventricle,brainsegvol,medulla,g&s_cingul-ant_curvind,bankssts_curvind,caudalanteriorcingulate_curvind,g&s_cingul-ant_surfarea,bankssts_surfarea,caudalanteriorcingulate_surfarea,ba1_exvivo_curvind,ca1,g&s_cingul-ant_curvind,bankssts_curvind,caudalanteriorcingulate_curvind,g&s_cingul-ant_surfarea,bankssts_surfarea,caudalanteriorcingulate_surfarea,ba1_exvivo_curvind,ca1,wm-lh-bankssts
4th-ventricle,brainsegvolnotvent,midbrain,g&s_cingul-ant_foldind,bankssts_foldind,caudalanteriorcingulate_foldind,g&s_cingul-mid-ant_surfarea,caudalanteriorcingulate_surfarea,caudalmiddlefrontal_surfarea,ba1_exvivo_foldind,ca3,g&s_cingul-ant_foldind,bankssts_foldind,caudalanteriorcingulate_foldind,g&s_cingul-mid-ant_surfarea,caudalanteriorcingulate_surfarea,caudalmiddlefrontal_surfarea,ba1_exvivo_foldind,ca3,wm-lh-caudalanteriorcingulate
brain-stem,brainsegvolnotventsurf,pons,g&s_cingul-ant_gauscurv,bankssts_gauscurv,caudalanteriorcingulate_gauscurv,g&s_cingul-mid-post_surfarea,caudalmiddlefrontal_surfarea,cuneus_surfarea,ba1_exvivo_gauscurv,ca4,g&s_cingul-ant_gauscurv,bankssts_gauscurv,caudalanteriorcingulate_gauscurv,g&s_cingul-mid-post_surfarea,caudalmiddlefrontal_surfarea,cuneus_surfarea,ba1_exvivo_gauscurv,ca4,wm-lh-caudalmiddlefrontal
cc,cerebralwhitemattervol,scp,g&s_cingul-ant_grayvol,bankssts_grayvol,caudalanteriorcingulate_grayvol,g&s_frontomargin_surfarea,cuneus_surfarea,entorhinal_surfarea,ba1_exvivo_grayvol,fimbria,g&s_cingul-ant_grayvol,bankssts_grayvol,caudalanteriorcingulate_grayvol,g&s_frontomargin_surfarea,cuneus_surfarea,entorhinal_surfarea,ba1_exvivo_grayvol,fimbria,wm-lh-cuneus
left-accumbens-area,cortexvol,whole_brainstem,g&s_cingul-ant_meancurv,bankssts_meancurv,caudalanteriorcingulate_meancurv,g&s_occipital_inf_surfarea,entorhinal_surfarea,fusiform_surfarea,ba1_exvivo_meancurv,gc-ml-dg,g&s_cingul-ant_meancurv,bankssts_meancurv,caudalanteriorcingulate_meancurv,g&s_occipital_inf_surfarea,entorhinal_surfarea,fusiform_surfarea,ba1_exvivo_meancurv,gc-ml-dg,wm-lh-entorhinal
left-amygdala,left_meanthickness,,g&s_cingul-ant_numvert,bankssts_numvert,caudalanteriorcingulate_numvert,g&s_paracentral_surfarea,frontalpole_surfarea,inferiorparietal_surfarea,ba1_exvivo_numvert,hata,g&s_cingul-ant_numvert,bankssts_numvert,caudalanteriorcingulate_numvert,g&s_paracentral_surfarea,frontalpole_surfarea,inferiorparietal_surfarea,ba1_exvivo_numvert,hata,wm-lh-frontalpole
left-caudate,left_pialsurfarea,,g&s_cingul-ant_surfarea,bankssts_surfarea,caudalanteriorcingulate_surfarea,g&s_subcentral_surfarea,fusiform_surfarea,inferiortemporal_surfarea,ba1_exvivo_surfarea,hippocampal-fissure,g&s_cingul-ant_surfarea,bankssts_surfarea,caudalanteriorcingulate_surfarea,g&s_subcentral_surfarea,fusiform_surfarea,inferiortemporal_surfarea,ba1_exvivo_surfarea,hippocampal-fissure,wm-lh-fusiform
left-cerebellum-cortex,left_whitesurfarea,,g&s_cingul-ant_thickavg,bankssts_thickavg,caudalanteriorcingulate_thickavg,g&s_transv_frontopol_surfarea,inferiorparietal_surfarea,insula_surfarea,ba1_exvivo_thickavg,hippocampal_tail,g&s_cingul-ant_thickavg,bankssts_thickavg,caudalanteriorcingulate_thickavg,g&s_transv_frontopol_surfarea,inferiorparietal_surfarea,insula_surfarea,ba1_exvivo_thickavg,hippocampal_tail,wm-lh-inferiorparietal
left-cerebellum-white-matter,lhcerebralwhitemattervol,,g&s_cingul-ant_thickstd,bankssts_thickstd,caudalanteriorcingulate_thickstd,g_cingul-post-dorsal_surfarea,inferiortemporal_surfarea,isthmuscingulate_surfarea,ba1_exvivo_thickstd,molecular_layer_hp,g&s_cingul-ant_thickstd,bankssts_thickstd,caudalanteriorcingulate_thickstd,g_cingul-post-dorsal_surfarea,inferiortemporal_surfarea,isthmuscingulate_surfarea,ba1_exvivo_thickstd,molecular_layer_hp,wm-lh-inferiortemporal
left-hippocampus,lhcortexvol,,g&s_cingul-mid-ant_curvind,caudalanteriorcingulate_curvind,caudalmiddlefrontal_curvind,g_cingul-post-ventral_surfarea,insula_surfarea,lateraloccipital_surfarea,ba2_exvivo_curvind,parasubiculum,g&s_cingul-mid-ant_curvind,caudalanteriorcingulate_curvind,caudalmiddlefrontal_curvind,g_cingul-post-ventral_surfarea,insula_surfarea,lateraloccipital_surfarea,ba2_exvivo_curvind,parasubiculum,wm-lh-insula
left-inf-lat-vent,rhcerebralwhitemattervol,,g&s_cingul-mid-ant_foldind,caudalanteriorcingulate_foldind,caudalmiddlefrontal_foldind,g_cuneus_surfarea,isthmuscingulate_surfarea,lateralorbitofrontal_surfarea,ba2_exvivo_foldind,presubiculum,g&s_cingul-mid-ant_foldind,caudalanteriorcingulate_foldind,caudalmiddlefrontal_foldind,g_cuneus_surfarea,isthmuscingulate_surfarea,lateralorbitofrontal_surfarea,ba2_exvivo_foldind,presubiculum,wm-lh-isthmuscingulate
